card_number,card_name,effect_id,action_order,trigger,condition,effect_group,action_type,reusable_function,target,value,duration,needs_review,notes,original_effect_text
131,Ignitima,131-E01,1,ON_PLAY,Roll 1 die,Direct Damage,ROLL_DAMAGE_TABLE,rollDamageTable,Target creature,Roll damage table,Instant,FALSE,Damage table uses a D6 result.,Roll 1 die to inflict damage on a creature. If the result is: 1-5: 20 damage. 6: 40 damage.
132,Hands of Fate,132-E01,1,ON_PLAY,Opponent deck has cards,Deck Manipulation,LOOK_AND_REORDER_DECK_TOP,lookAndReorderDeckTop,Top 5 cards of opponent deck,Look at and rearrange in any order,Instant,FALSE,,"You and your opponent may look at the top 5 cards of your opponent's deck. You may rearrange them in any order. Once finished, place them on the top of their deck."
133,Ambush,133-E01,1,DURING_BATTLE_FROM_HAND,During battle,Limited Summon,SUMMON_LIMITED_CREATURE_FROM_HAND,summonLimitedFromHand,1 creature from your hand,Limited Summon until end of battle,Current battle,FALSE,,"During battle, play this card from your hand. Summon 1 creature from your hand as a Limited Summon. Return it back to your hand at the end of the battle."
133,Ambush,133-E02,2,AT_END_OF_BATTLE,Battle ends,Zone Movement,SCHEDULE_RETURN_TO_HAND,scheduleReturnToHand,Creature summoned by Ambush,Return to your hand,Instant,FALSE,,"During battle, play this card from your hand. Summon 1 creature from your hand as a Limited Summon. Return it back to your hand at the end of the battle."
134,Wizard Frog,134-E01,1,DURING_YOUR_TURN_ACTIVATED,You choose a card in hand,Cost,PAY_CARD_COST,payCardCost,1 card from your hand,Return to your deck and shuffle,Instant,FALSE,,"During your turn, you may send a card from your hand back to your deck (shuffle). This creature then inflicts 2x Atk damage for this turn."
134,Wizard Frog,134-E02,2,AFTER_COST_PAID,Wizard Frog paid card-to-deck cost this turn,Damage Multiplier,APPLY_ATTACK_DAMAGE_MULTIPLIER,applyConditionalDamageMultiplier,This creature attack,2x Atk damage,Current turn,FALSE,Applies after sending a card from hand back to deck.,"During your turn, you may send a card from your hand back to your deck (shuffle). This creature then inflicts 2x Atk damage for this turn."
137,Kendo Tiger,137-E01,1,ON_SUMMON,Choose this mode when summoned,Choice Effect,MOVE_CARD,moveCard,1 card from opponent hand,Send back to opponent deck and shuffle,Instant,FALSE,,"When summoned, choose 1 of the following effects: Send 1 card from your opponent's hand back to their deck. Shuffle. Destroy 1 magic card on the field."
137,Kendo Tiger,137-E02,2,ON_SUMMON,Choose this mode when summoned,Choice Effect,DESTROY_MAGIC_CARDS,destroyMagicCards,1 magic card on the field,Destroy 1 magic card,Instant,FALSE,,"When summoned, choose 1 of the following effects: Send 1 card from your opponent's hand back to their deck. Shuffle. Destroy 1 magic card on the field."
142,Black Jacket,142-E01,1,SUMMON_ALTERNATIVE,"Your primary creature is ""Hive Lord""",Limited Summon,SUMMON_LIMITED_CREATURE_FROM_HAND,summonLimitedFromHand,This creature,May be Limited Summoned if your primary creature is Hive Lord,While Hive Lord remains valid,FALSE,,"You may summon this creature normally, or Limited Summon it if your primary creature is ""Hive Lord"". If ""Hive Lord"" leaves the field or changes control, return this card to your hand."
142,Black Jacket,142-E02,2,ON_SOURCE_INVALIDATED,"""Hive Lord"" leaves field or changes control",Zone Movement,RETURN_LINKED_SUMMON,returnLinkedSummon,This card,Return to your hand,Instant,FALSE,,"You may summon this creature normally, or Limited Summon it if your primary creature is ""Hive Lord"". If ""Hive Lord"" leaves the field or changes control, return this card to your hand."
145,Ancient One,145-E01,1,DURING_OPPONENT_TURN,Opponent controls Limited Summons during their turn,Forced Battle,FORCE_LIMITED_SUMMONS_TO_BATTLE_PRIMARY,forceLimitedSummonsToBattlePrimary,Opponent Limited Summons,Must battle opponent primary creature,While on field,FALSE,Normal battle rules apply.,"During your opponents' turn, if they control Limited Summons, they must use their Limited Summons to battle their primary creature. Normal battle rules apply."
147,Super Hornet,147-E01,1,SUMMON_ALTERNATIVE,"Your primary creature is ""Hive Lord""",Limited Summon,SUMMON_LIMITED_CREATURE_FROM_HAND,summonLimitedFromHand,This creature,May be Limited Summoned if your primary creature is Hive Lord,While Hive Lord remains valid,FALSE,,"You may summon this creature normally, or Limited Summon it if your primary creature is ""Hive Lord"". If ""Hive Lord"" leaves the field or changes control, return this card to your hand."
147,Super Hornet,147-E02,2,ON_SOURCE_INVALIDATED,"""Hive Lord"" leaves field or changes control",Zone Movement,RETURN_LINKED_SUMMON,returnLinkedSummon,This card,Return to your hand,Instant,FALSE,,"You may summon this creature normally, or Limited Summon it if your primary creature is ""Hive Lord"". If ""Hive Lord"" leaves the field or changes control, return this card to your hand."
148,Bug Spray,148-E01,1,WHILE_FIELD_ACTIVE,Target is Bug-type,Damage Multiplier Aura,APPLY_DAMAGE_MULTIPLIER_AURA,applyConditionalDamageMultiplierAura,Bug-type creatures,2x Atk damage,While field effect is active,FALSE,Field aura damage multiplier against Bug-type creatures.,All creatures inflict 2x Atk damage to Bug-type creatures on the field.
150,Future Warrior,150-E01,1,WHEN_CHOSEN_BATTLE_DAMAGE_WOULD_OCCUR,You choose a battle involving equipped creature,Damage Negation,NEGATE_ATTACK_DAMAGE,negateAttackDamage,Opponent creature Atk damage,Negate Atk damage for one chosen battle,Until used,FALSE,,The equipped creature can see the future. Negate opponent's creature Atk damage for a single battle of your choosing. Send this card to the cemetery after negation.
150,Future Warrior,150-E02,2,AFTER_DAMAGE_NEGATED,Future Warrior negated Atk damage,Zone Movement,MOVE_CARD,moveCard,This card,Send to cemetery,Instant,FALSE,,The equipped creature can see the future. Negate opponent's creature Atk damage for a single battle of your choosing. Send this card to the cemetery after negation.
